"effect_id","status","location","implemented","notes"
"359","covered_by_stat_changes",""
"360","covered_by_stat_changes",""
"361","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Move meta synthesis sets effect_id 361 drain/multi-hit data."
"362","missing",""
"363","covered_by_stat_changes","","yes","Aromatic Mist Special Defense +1 is covered by generic stat-change data when present."
"364","missing","datafiles/data/csv/moves.csv","no","Venom Drench conditional stat drops against poisoned targets are present in moves.csv but not yet implemented."
"367","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Magnetic Flux targets allies with Plus/Minus ability and raises Def and Sp. Def by +1 via multi-target pipeline (not Steel-specific)."
 "351","explicit","scripts/status_system/status_system.gml (explicit handling)"
"365","covered_by_stat_changes",""
"366","covered_by_stat_changes",""
"367","explicit","scripts/battle_system/battle_system.gml (explicit handling)"
"368","missing",""
"369","explicit","scripts/battle_system/battle_system.gml (explicit handling)"
"370","missing",""
"371","missing",""
"372","missing",""
"373","missing",""
"374","missing",""
"375","covered_by_stat_changes",""
"376","missing",""
"377","missing",""
"378","missing",""
"379","missing",""
"369","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Electric Terrain boosts Electric-type moves by 1.3× for grounded attackers and blocks Sleep on grounded targets; duration tick/clear handled."
"380","missing","datafiles/data/csv/moves.csv","no","Freeze-Dry Water super-effectiveness override is present in moves.csv but not yet implemented."
"381","missing",""
"382","missing",""
"383","missing",""
"384","missing",""
"385","missing",""
"386","missing",""
"387","missing",""
"388","covered_by_stat_changes",""
"389","missing",""
"390","covered_by_stat_changes",""
"391","missing",""
"392","explicit","scripts/battle_system/battle_system.gml (explicit handling)"
"393","missing",""
"394","missing",""
"392","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Gear Up targets allies with Plus/Minus ability and raises Atk and Sp. Atk by +1 via multi-target pipeline."
"396","covered_by_stat_changes",""
"397","covered_by_stat_changes",""
"398","missing",""
"399","missing",""
"400","missing",""
"401","missing",""
"402","missing",""
"403","missing",""
"404","missing",""
 "392","explicit","scripts/status_system/status_system.gml (explicit handling)"
"405","missing","datafiles/data/csv/moves.csv","no","Clanging Scales self Defense drop after damage is present in moves.csv but not yet implemented."
"406","missing",""
"407","missing",""
 "395","explicit","scripts/status_system/status_system.gml (explicit handling)"
"408","missing","datafiles/data/csv/moves.csv","no","Shell Trap physical-hit condition is present in moves.csv but not yet implemented."
"409","missing",""
"410","missing",""
"411","missing",""
"412","covered_by_stat_changes",""
"413","missing",""
"414","covered_by_stat_changes",""
"415","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Psychic Terrain apply/extension handled post-damage with terrain extender support."
"416","missing",""
"417","missing",""
"418","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Terrain clearing after damage implemented in __battle_apply_move_meta_effects."
"419","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Post-hit stat boosts handled via move meta effect_id 419 path."
"420","missing",""
"421","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Dynamax Cannon guard bypass/damage scaling wired in move damage pipeline."
"422","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Snipe Shot guard bypass implemented when applying damage."
"423","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Jaw Lock mutual trapping and switch lock handled via __battle_jaw_lock_bind/is_blocked."
"424","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Move meta maps effect_id 424 party-wide status cure."
"425","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Move meta maps effect_id 425 multi-target stat boosts."
"426","missing","datafiles/data/csv/moves.csv","no","Tar Shot status/type-effectiveness behavior is present in moves.csv but not yet implemented."
"427","missing","datafiles/data/csv/moves.csv","no","Magic Powder type-changing behavior is present in moves.csv but not yet implemented."
"428","missing","datafiles/data/csv/moves.csv","no","Dragon Darts target-selection/multi-hit behavior is present in moves.csv but not yet implemented."
"429","missing","datafiles/data/csv/moves.csv","no","Teatime held-berry activation is present in moves.csv but not yet implemented."
"430","missing","datafiles/data/csv/moves.csv","no","Octolock trapping plus end-turn stat drops are present in moves.csv but not yet implemented."
"431","missing","datafiles/data/csv/moves.csv","no","Bolt Beak/Fishious Rend first-move damage doubling is present in moves.csv but not yet implemented."
"432","missing","datafiles/data/csv/moves.csv","no","Court Change side-condition swapping is present in moves.csv but not yet implemented."
"433","missing","datafiles/data/csv/moves.csv","no","Clangorous Soul omniboost plus HP cost is present in moves.csv but not yet implemented."
"434","missing","datafiles/data/csv/moves.csv","no","Body Press Defense-as-Attack damage calculation is present in moves.csv but not yet implemented."
"435","covered_by_stat_changes","","yes","Decorate Attack/Special Attack +2 is covered by generic stat-change data when present."
"436","missing","datafiles/data/csv/moves.csv","no","Behemoth Blade/Bash Dynamax damage doubling is present in moves.csv but not yet implemented."
"437","missing","datafiles/data/csv/moves.csv","no","Aura Wheel form-dependent type and Speed boost behavior is present in moves.csv but not yet implemented."
"439","missing","datafiles/data/csv/moves.csv","no","Overdrive sound/punk-themed special handling is present in moves.csv but not yet audited."
"440","covered_by_stat_changes","","yes","Apple Acid Special Defense drop is covered by generic stat-change data when present."
"441","missing","datafiles/data/csv/moves.csv","no","Life Dew ally healing is present in moves.csv but not yet implemented."
"442","missing","datafiles/data/csv/moves.csv","no","Obstruct protection/contact Defense drop behavior is present in moves.csv but not yet implemented."
"443","missing",""
"10001","missing",""
"10002","missing","datafiles/data/csv/moves.csv","no","Shadow End 1/2 HP recoil is present in moves.csv but not yet implemented."
 "415","explicit","scripts/status_system/status_system.gml (explicit handling)","yes","Status hooks coordinate end-of-turn Psychic Terrain effects."
"10003","missing",""
"10004","missing",""
"10005","missing","datafiles/data/csv/moves.csv","no","Shadow Shed removing Light Screen, Reflect, and Safeguard is present in moves.csv but not yet implemented."
 "418","explicit","scripts/status_system/status_system.gml (explicit handling)","yes","Status hooks coordinate terrain clearing messages for Splintered Stormshards."
"10006","missing",""
"1044","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Move meta synthesis handles effect_id 1044 drain ratio."
 "421","explicit","scripts/status_system/status_system.gml (explicit handling)","yes","Status hooks mirror Dynamax Cannon messaging."
"353","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Misty Terrain halves Dragon-type damage vs grounded targets and blocks major status on grounded (sleep/burn/poison/toxic/paralysis/freeze) via status_system; duration tick/clear handled."
"395","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Psychic Terrain blocks priority against grounded targets and boosts Psychic-type moves by 1.3× for grounded attackers; duration tick/clear handled."
